Date,context.product_china_bid,context.product_china_ask,context.product_abroad_bid,context.product_abroad_ask,product_currency_bid,product_currency_ask,product_arbitrage_price_bid,product_arbitrage_price_ask,product_arbitrage_price
2019.02.21D23:52:02.500,16810,16820,2036.0,2037.0,6.500949280166626,6.501049280166626,-1061.0672655807484,-1045.8626163005827,-1053.464965940666
2019.02.21D23:53:03.500,16810,16820,2036.0,2036.5,6.500949280166626,6.501049280166626,-1061.0672655807484,-1049.1131409406662,-1055.090215760707
2019.02.21D23:54:00.500,16810,16820,2036.0,2036.5,6.500650303268433,6.500750303268433,-1061.6759825454699,-1049.722007393837,-1055.6990074696532
2019.02.21D23:55:13.000,16810,16820,2036.5,2037.0,6.500649588012696,6.500749588012695,-1058.4271140121457,-1046.4730892181396,-1052.4501141151434
2019.02.21D23:56:07.500,16810,16820,2036.0,2036.5,6.500949995422364,6.501049995422362,-1061.0658093200673,-1049.1116843223572,-1055.088759321212
2019.02.21D23:57:01.500,16800,16810,2036.0,2036.5,6.501549379730225,6.501649379730225,-1051.3454628692616,-1039.3910381793976,-1045.3682630243293
2019.02.21D23:58:02.000,16800,16810,2034.0,2035.0,6.5011001991271975,6.501200199127197,-1065.262194975281,-1050.0575947761536,-1057.6599198757176
2019.02.21D23:59:01.500,16800,16810,2033.5,2034.0,6.500650303268433,6.500750303268433,-1069.427608303642,-1057.473883152008,-1063.4507582278256
2019.02.21D24:00:00.000,16800,16810,2033.5,2034.0,6.5007997917175295,6.500899791717528,-1069.123623542404,-1057.1698236465454,-1063.1467360944753
2019.02.21D24:01:00.500,16810,16820,2033.5,2034.0,6.500649588012696,6.500749588012695,-1077.9290627761839,-1065.9753379821775,-1071.9522128791814
2019.02.21D24:02:04.000,16810,16820,2035.0,2036.5,6.50109948387146,6.50119948387146,-1067.2625503215786,-1048.8072510957718,-1058.0349382086752
2019.02.21D24:03:00.000,16800,16820,2035.5,2036.5,6.500949280166626,6.501049280166626,-1064.317740220833,-1040.6131409406662,-1052.4654655807499
2019.02.21D24:04:00.000,16800,16820,2037.0,2038.0,6.5007997917175295,6.500899791717528,-1054.8708242713928,-1031.1662244796753,-1043.0185493755343
2019.02.21D24:05:00.500,16810,16820,2037.0,2038.0,6.501550094985963,6.501650094985963,-1053.3424565135956,-1038.1371064186096,-1045.7398064661031
